subject,67th-reexam,68th,69th,70th,70th-reexam,71st,average
History,18.0% (27),14.7% (22),19.3% (29),18.0% (27),23.3% (35),15.3% (23),18.1%
Geography,8.0% (12),7.3% (11),10.7% (16),10.0% (15),11.3% (17),8.0% (12),9.2%
Polity,6.0% (9),5.3% (8),8.7% (13),8.0% (12),9.3% (14),9.3% (14),7.8%
Economy,5.3% (8),6.7% (10),8.0% (12),6.0% (9),5.3% (8),6.7% (10),6.3%
Science & Technology,19.3% (29),20.7% (31),18.7% (28),16.7% (25),20.0% (30),21.3% (32),19.4%
Environment & Ecology,0.7% (1),2.7% (4),4.0% (6),1.3% (2),2.0% (3),6.0% (9),2.8%
Current Affairs,15.3% (23),14.0% (21),14.0% (21),17.3% (26),12.0% (18),12.0% (18),14.1%
Bihar-Specific,20.7% (31),22.0% (33),10.0% (15),16.0% (24),10.7% (16),14.7% (22),15.7%
Reasoning & Aptitude,6.7% (10),6.7% (10),6.7% (10),6.7% (10),6.0% (9),6.7% (10),6.6%
